"AFGHANISTAN","AFGHANISTAN"
"ALBANIA","ALBANIA"
"ALGERIA","ALGERIA"
"AMERICAN SAMOA","AMERICAN SAMOA"
"ANDORRA","ANDORRA"
"ANGOLA","ANGOLA"
"ANGUILLA","ANGUILLA"
"ANTIGUA AND BARBUDA","ANTIGUA AND BARBUDA"
"ARGENTINA","ARGENTINA"
"ARMENIA","ARMENIA"
"ARUBA","ARUBA"
"AUSTRALIA","AUSTRALIA"
"AUSTRIA","AUSTRIA"
"AZERBAIJAN","AZERBAIJAN"
"BAHAMAS, THE","BAHAMAS"
"BAHRAIN","BAHRAIN"
"BANGLADESH","BANGLADESH"
"BARBADOS","BARBADOS"
"BELARUS","BELARUS"
"BELGIUM","BELGIUM"
"BELIZE","BELIZE"
"BENIN","BENIN"
"BERMUDA","BERMUDA"
"BHUTAN","BHUTAN"
"BOLIVIA","BOLIVIA"
"BOSNIA AND HERZEGOVINA","BOSNIA AND HERZEGOVINA"
"BOTSWANA","BOTSWANA"
"BRAZIL","BRAZIL"
"BRITISH VIRGIN ISLANDS","BRITISH VIRGIN ISLANDS"
"BRUNEI","BRUNEI"
"BULGARIA","BULGARIA"
"BURKINA FASO","BURKINA FASO"
"BURUNDI","BURUNDI"
"CAMBODIA","CAMBODIA"
"CAMEROON","CAMEROON"
"CANADA","CANADA"
"CAPE VERDE","CAPE VERDE"
"CAYMAN ISLANDS, THE","CAYMAN ISLANDS"
"CENTRAL AFRICAN REPUBLIC","CENTRAL AFRICAN REPUBLIC"
"CHAD","CHAD"
"CHILE","CHILE"
"CHINA","CHINA"
"COLOMBIA","COLOMBIA"
"COMOROS","COMOROS"
"CONGO, DEMOCRATIC REPUBLIC OF THE","CONGO"
"CONGO, REPUBLIC OF THE","CONGO","REPUBLIC OF THE CONGO"
"COOK ISLANDS","COOK ISLANDS"
"CORSICA","FRANCE"
"COSTA RICA","COSTA RICA"
"CÔTE D'IVOIRE","IVORY COAST"
"CROATIA","CROATIA"
"CUBA","CUBA"
"CYPRUS","CYPRUS"
"CZECH REPUBLIC","CZECHIA"
"DENMARK","DENMARK"
"DJIBOUTI","DJIBOUTI"
"DOMINICA","DOMINICA"
"DOMINICAN REPUBLIC","DOMINICAN REPUBLIC"
"EAST TIMOR","DEMOCRATIC REPUBLIC OF TIMOR-LESTE"
"ECUADOR","ECUADOR"
"EGYPT","EGYPT"
"EL SALVADOR","EL SALVADOR"
"EQUATORIAL GUINEA","EQUATORIAL GUINEA"
"ERITREA","ERITREA"
"ESTONIA","ESTONIA"
"ETHIOPIA","ETHIOPIA"
"FAROE ISLANDS","FAROE ISLANDS"
"FIJI","FIJI"
"FINLAND","FINLAND"
"FRANCE","FRANCE"
"FRENCH GUIANA","FRENCH GUIANA"
"FRENCH POLYNESIA","FRENCH POLYNESIA"
"GABON","GABON"
"GAMBIA, THE","GAMBIA"
"GAZA STRIP","PALESTINE"
"GEORGIA","GEORGIA"
"GERMANY","GERMANY"
"GHANA","GHANA"
"GIBRALTAR","GIBRALTAR"
"GREECE","GREECE"
"GREENLAND","GREENLAND"
"GRENADA","GRENADA"
"GUADELOUPE","GUADELOUPE"
"GUAM","GUAM"
"GUATEMALA","GUATEMALA"
"GUERNSEY","GUERNSEY"
"GUINEA","GUINEA"
"GUINEA-BISSAU","GUINEA-BISSAU"
"GUYANA","GUYANA"
"HAITI","HAITI"
