ABKHAZIA,GEORGIA
AFGHANISTAN,AFGHANISTAN
ALAND ISLANDS,FINLAND
ALBANIA,ALBANIA
ALGERIA,ALGERIA
AMERICAN SAMOA,AMERICAN SAMOA
ANDORRA,ANDORRA
ANGOLA,ANGOLA
ANGUILLA,ANGUILLA
ANTARCTICA,ANTARCTICA
ANTIGUA AND BARBUDA,ANTIGUA AND BARBUDA
ARGENTINA,ARGENTINA
ARMENIA,ARMENIA
ARUBA,ARUBA
ASCENSION,SINGAPORE
AUSTRALIA,AUSTRALIA
AUSTRIA,AUSTRIA
AZERBAIJAN,AZERBAIJAN
BAHAMAS,BAHAMAS
BAHRAIN,BAHRAIN
BANGLADESH,BANGLADESH
BARBADOS,BARBADOS
BELARUS,BELARUS
BELGIUM,BELGIUM
BELIZE,BELIZE
BENIN,BENIN
BERMUDA,BERMUDA
BHUTAN,BHUTAN
BOLIVIA,BOLIVIA
BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA
BOTSWANA,BOTSWANA
BOUVET ISLAND,BOUVET ISLAND
BRAZIL,BRAZIL
BRITISH INDIAN OCEAN TERRITORY,BRITISH INDIAN OCEAN TERRITORY
BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS
BRUNEI,BRUNEI
BULGARIA,BULGARIA
BURKINA FASO,BURKINA FASO
BURMA (REPUBLIC OF THE UNION OF MYANMAR),MYANMAR [BURMA]
BURUNDI,BURUNDI
CAMBODIA,CAMBODIA
CAMEROON,CAMEROON
CANADA,CANADA
CAPE VERDE,CAPE VERDE
CARIBBEAN NETHERLANDS,"BONAIRE, SINT EUSTATIUS, AND SABA"
CAYMAN ISLANDS,CAYMAN ISLANDS
CHAD,CHAD
CHILE,CHILE
CHINA,CHINA
CHRISTMAS ISLAND,CHRISTMAS ISLAND
CLIPPERTON ISLAND,FRANCE
COCOS (KEELING) ISLANDS,COCOS [KEELING] ISLANDS
COLOMBIA,COLOMBIA
COMOROS,COMOROS
CONGO (REPUBLIC OF),CONGO,REPUBLIC OF THE CONGO
COOK ISLANDS,COOK ISLANDS
CORAL SEA ISLANDS,AUSTRALIA
COSTA RICA,COSTA RICA
COTE D'IVOIRE (IVORY COAST),IVORY COAST
CROATIA,CROATIA
CUBA,CUBA
CURACAO,CURAçAO
CYPRUS,CYPRUS
CZECH REPUBLIC,CZECHIA
DENMARK,DENMARK
DJIBOUTI,DJIBOUTI
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC
ECUADOR,ECUADOR
EGYPT,EGYPT
EL SALVADOR,EL SALVADOR
EQUATORIAL GUINEA,EQUATORIAL GUINEA
ERITREA,ERITREA
ESTONIA,ESTONIA
ETHIOPIA,ETHIOPIA
FALKLAND ISLANDS,FALKLAND ISLANDS
FAROE ISLANDS,FAROE ISLANDS
FIJI,FIJI
FINLAND,FINLAND
FRANCE,FRANCE
FRENCH GUIANA,FRENCH GUIANA
FRENCH POLYNESIA,FRENCH POLYNESIA
FRENCH SOUTHERN AND ANTARCTIC LANDS,FRENCH SOUTHERN TERRITORIES
FRENCH SOUTHERN TERRITORIES,FRENCH SOUTHERN TERRITORIES
GABON,GABON
GAMBIA,GAMBIA
GEORGIA,GEORGIA
