ABKHAZIAN,,ABKHAZIA,,,,,,,,,,,
AFGHAN,AFG,AFGHANISTAN,,,,,,,,,,,
ALANDIC,ALA,ALAND ISLANDS,,,,,,,,,,,
ALBANIAN,ALB,ALBANIA,,,,,,,,,,,
ALGERIAN,DZA,ALGERIA,,,,,,,,,,,
AMERICAN,USA,UNITED STATES MINOR OUTLYING ISLANDS,UNITED STATES OF AMERICA,,,,,,,,,,
ANDORRAN,AND,ANDORRA,,,,,,,,,,,
ANGOLAN,AGO,ANGOLA,,,,,,,,,,,
ANTARCTIC,ATA,ANTARCTICA,,,,,,,,,,,
ANTIGUAN,ATG,ANTIGUA AND BARBUDA,,,,,,,,,,,
ARGENTINE,ARG,ARGENTINA,,,,,,,,,,,
ARMENIAN,ARM,ARMENIA,,,,,,,,,,,
ARUBIAN,ABW,ARUBA,,,,,,,,,,,
AUSTRALIAN,AUS,AUSTRALIA,,,,,,,,,,,
AUSTRALIAN EXTERNAL TERRITORY,AUS,AUSTRALIA,,,,,,,,,,,
AUSTRIAN,AUT,AUSTRIA,OSTERREICH,,,,,,,,,,
AZERBAIJANI,AZE,AZERBAIJAN,,,,,,,,,,,
BAHAMEESE,BHS,BAHAMAS,,,,,,,,,,,
BAHRAINI,BHR,BAHRAIN,,,,,,,,,,,
BANGLADESHI,BGD,BANGLADESH,,,,,,,,,,,
BARBADIAN,BRB,BARBADOS,,,,,,,,,,,
BELARUSIAN,BLR,BELARUS,,,,,,,,,,,
BELGIAN,BEL,BELGIUM,,,,,,,,,,,
BELIZEAN,BLZ,BELIZE,,,,,,,,,,,
BENINESE,BEN,BENIN,,,,,,,,,,,
BHUTANESE,BTN,BHUTAN,,,,,,,,,,,
BOLIVIAN,BOL,BOLIVIA,,,,,,,,,,,
BOSNIAN,BIH,BOSNIA AND HERZEGOVINA,,,,,,,,,,,
BOUVET ISLAND,BVT,BOUVET ISLAND,,,,,,,,,,,
BRAZILIAN,BRA,BRAZIL,BRASIL,,,,,,,,,,
BRITISH,GBR,UNITED KINGDOM,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,UK,,,,,,,,,
BRITISH OVERSEAS TERRITORY,,ANGUILLA,BERMUDA,BRITISH VIRGIN ISLANDS,CAYMAN ISLANDS,FALKLAND ISLANDS,PITCAIRN ISLANDS,SAINT HELENA,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SOUTH OSSETIA,TUVALU,TRISTAN DA CUNHA,ASCENSION
BRUNEIAN,BRN,BRUNEI DARUSSALAM,,,,,,,,,,,
BULGARIAN,BGR,BULGARIA,,,,,,,,,,,
BURKINABE,BFA,BURKINA FASO,,,,,,,,,,,
BURUNDIAN,BDI,BURUNDI,,,,,,,,,,,
CAMBODIAN,KHM,CAMBODIA,,,,,,,,,,,
CAMEROONIAN,CMR,CAMEROON,,,,,,,,,,,
CANADIAN,CAN,CANADA,BRITISH COLUMBIA CAN,,,,,,,,,,
CAPE VERDEAN,CPV,CAPE VERDE,,,,,,,,,,,
CARIBBEAN NETHERLANDS,NLD,NETHERLAND,,,,,,,,,,,
CENTRAL AFRICAN,CAF,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,
CHADIAN,TCD,CHAD,,,,,,,,,,,
CHILEAN,CHL,CHILE,,,,,,,,,,,
CHINESE,CHN,CHINA,,,,,,,,,,,
COLOMBIAN,COL,COLOMBIA,,,,,,,,,,,
COMORAN,CMR,CAMEROONIAN,,,,,,,,,,,
CONGOLESE,COD,CONGO (REPUBLIC OF THE),CONGO (DEMOCRATIC REPUBLIC OF THE),,,,,,,,,,
COOK ISLANDER,COK,COOK ISLANDS,,,,,,,,,,,
COSTA RICAN,CRI,COSTA RICA,,,,,,,,,,,
CROATIAN,HRV,CROATIA,,,,,,,,,,,
CUBAN,CUB,CUBA,,,,,,,,,,,
CURACAOAN,CUW,CURACAO,,,,,,,,,,,
CYPRIOT,CYP,CYPRUS,,,,,,,,,,,
CZECH,CZE,CZECH REPUBLIC,,,,,,,,,,,
DANISH,DNK,DENMARK,DANMARK,,,,,,,,,,
DJIBOUTIAN,DJI,DJIBOUTI,,,,,,,,,,,
DOMINICAN,DMA,DOMINICA,DOMINICAN REPUBLIC,,,,,,,,,,
DUTCH,NLD,NETHERLANDS,NEDERLANDSE,NEDERLANDEN,,,,,,,,,
ECUADOREAN,EST,ESTONIA,,,,,,,,,,,
EGYPTIAN,EGY,EGYPT,,,,,,,,,,,
EMIRIAN,ARE,UNITED ARAB EMIRATES,,,,,,,,,,,
EQUATORIAL GUINEAN,GNQ,EQUATORIAL GUINEA,,,,,,,,,,,
ERITREAN,ERI,ERITREA,,,,,,,,,,,
ESTONIAN,EST,ESTONIA,,,,,,,,,,,
ETHIOPIAN,ETH,ETHIOPIA,,,,,,,,,,,
FAROESE,FRO,FAROE ISLANDS,,,,,,,,,,,
FIJIAN,FJI,FIJI,,,,,,,,,,,
FILIPINO,PHL,PHILIPPINES,,,,,,,,,,,
FINNISH,FIN,FINLAND,,,,,,,,,,,
FRENCH,FRA,FRANCE,FRANCAISE,,,,,,,,,,
FRENCH GUIANESE,GUF,FRENCH GUIANA,,,,,,,,,,,
FRENCH OVERSEAS COLLECTIVITY,,FRENCH OVERSEAS COLLECTIVITY,,,,,,,,,,,
FRENCH OVERSEAS REGION,,REUNION,,,,,,,,,,,
FRENCH SOUTHERN TERRITORIES,ATF,FRENCH SOUTHERN TERRITORIES,,,,,,,,,,,
GABONESE,GAB,GABON,,,,,,,,,,,
GAMBIAN,GMB,GAMBIA,,,,,,,,,,,
GEORGIAN,GEO,GEORGIA,,,,,,,,,,,
GERMAN,DEU,GERMANY,DEUTSCHLAND,DEUTSCH,,,,,,,,,
GHANAIAN,GHA,GHANA,,,,,,,,,,,
GIBRALTARIAN,GIB,GIBRALTAR,,,,,,,,,,,
GREEK,GRC,GREECE,,,,,,,,,,,
GREENLANDER,GRL,GREENLAND,,,,,,,,,,,
GRENADIAN,GRD,GRENADA,,,,,,,,,,,
GUADELOUPEAN,GLP,GUADELOUPE,,,,,,,,,,,
GUAMANIAN,GUM,GUAM,,,,,,,,,,,
GUATEMALAN,GTM,GUATEMALA,,,,,,,,,,,
GUERNSEY,GGY,GUERNSEY,,,,,,,,,,,
GUINEAN,GIN,GUINEA,,,,,,,,,,,
GUYANESE,GUY,GUYANA,,,,,,,,,,,
HAITIAN,HTI,HAITI,,,,,,,,,,,
HONDURAN,HND,HONDURAS,,,,,,,,,,,
HONG KONG,HKG,HONG KONG,,,,,,,,,,,
HOWLAND ISLAND,,HOWLAND ISLAND,,,,,,,,,,,
HUNGARIAN,HUN,HUNGARY,,,,,,,,,,,
I-KIRIBATI,KIR,KIRIBATI,,,,,,,,,,,
ICELANDER,ISL,ICELAND,,,,,,,,,,,
INDIAN,IND,INDIA,,,,,,,,,,,
INDONESIAN,IDN,INDONESIA,JAKARTA,,,,,,,,,,
IRANIAN,IRN,IRAN,,,,,,,,,,,
IRAQI,IRQ,IRAQ,,,,,,,,,,,
IRISH,IRL,IRELAND,,,,,,,,,,,
ISRAELI,ISR,ISRAEL,,,,,,,,,,,
ITALIAN,ITA,ITALY,,,,,,,,,,,
IVORIAN,CIV,COTE D'IVOIRE,,,,,,,,,,,
JAMAICAN,JAM,JAMAICA,,,,,,,,,,,
JAPANESE,JPN,JAPAN,,,,,,,,,,,
JERSEY,GGY,JERSEY,,,,,,,,,,,
JOHNSTON ATOLL,,JOHNSTON ATOLL,,,,,,,,,,,
JORDANIAN,JOR,JORDAN,,,,,,,,,,,
KAZAKHSTANI,KAZ,KAZAKHSTAN,,,,,,,,,,,
KENYAN,KEN,KENYA,,,,,,,,,,,
KINGMAN REEF,,KINGMAN REEF,,,,,,,,,,,
KITTIAN,KNA,SAINT KITTS AND NEVIS,,,,,,,,,,,
KOSOVAR,UNK,REPUBLIC OF KOSOVO,,,,,,,,,,,
KUWAITI,KWT,KUWAIT,,,,,,,,,,,
KYRGYZSTANI,KGZ,KYRGYZSTAN,,,,,,,,,,,
LAOTIAN,LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,,,,,,,,,,,
LATVIAN,LVA,LATVIA,,,,,,,,,,,
LEBANESE,LBN,LEBANON,,,,,,,,,,,
LIBERIAN,LBR,LIBERIA,,,,,,,,,,,
LIBYAN,LBY,LIBYA,,,,,,,,,,,
LIECHTENSTEINER,LIE,LIECHTENSTEIN,,,,,,,,,,,
LITHUANIAN,LTU,LITHUANIA,LIETUVOS,,,,,,,,,,
LUXEMBOURGER,LUX,LUXEMBOURG,,,,,,,,,,,
MACANESE,MAC,MACAO,,,,,,,,,,,
MACEDONIAN,MKD,MACEDONIA,,,,,,,,,,,
MAHORAN,MYT,MAYOTTE,,,,,,,,,,,
MALAGASY,MDG,MADAGASCAR,,,,,,,,,,,
MALAWIAN,MWI,MALAWI,,,,,,,,,,,
MALAYSIAN,MYS,MALAYSIA,,,,,,,,,,,
MALDIVAN,MDV,MALDIVES,,,,,,,,,,,
MALIAN,MLI,MALI,,,,,,,,,,,
MALTESE,MLT,MALTA,,,,,,,,,,,
MANX,IMN,ISLE OF MAN,,,,,,,,,,,
MARSHALLESE,MHL,MARSHALL ISLANDS,,,,,,,,,,,
MARTINICAN,MTQ,MARTINIQUE,,,,,,,,,,,
MAURITANIAN,MRT,MAURITANIA,,,,,,,,,,,
